MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272010101365,달서소방서,송현119안전센터,해맞이단란주점,단란주점,20230509164902,20230509,164902,2023,05,09,,20100210,20101207,20220811,대구광역시 달서구 송현동 ,월배로,,석고보드. 유리. 타일. 콘크리트,350.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU272010101383,달서소방서,죽전119안전센터,왔다노래연습장,노래연습장업,20230216195139,20230216,195139,2023,02,16,근린생활시설,20100304,20101207,20140924,대구광역시 달서구 감삼동 ,감삼북길,,석고보드 위 종이벽지 등,171.0,,45.0,1/4,미소노래방건물 - 미소노래방건물동,양식(옥),철근콘크리트조,,Y
MU272010101394,달서소방서,도원119안전센터,두바이노래연습장,노래연습장업,20230224160259,20230224,160259,2023,02,24,근린생활시설,20100209,20100309,20221213,대구광역시 달서구 유천동 ,달서대로,,선고보드위핸디. 타일 등,267.0,,78.0,0/3,훔친갈비 - 동명칭없음동,양식(옥),철근콘크리트조,,Y
MU272010100712,달서소방서,본리119안전센터,프린스,유흥주점,20230516163213,20230516,163213,2023,05,16,근린생활시설,20100604,20100610,20130731,대구광역시 달서구 본리동 ,와룡로,,석고보드 등,368.0,MDF,85.0,1/5,송학구이건물 - 송학구이건물동,양식(옥),철근콘크리트조,,Y
MU272010100602,달서소방서,송현119안전센터,쏘울,일반음식점,20230509164939,20230509,164939,2023,05,09,,20100420,20100511,,대구광역시 달서구 송현동 ,구마로,,석고보드 등,271.0,목재,75.0,1/4,,양식(옥),철근콘크리트조,,Y
MU272010100544,강북소방서,구암119안전센터,소디스에스프레소바 대구북구점,일반음식점,20230120132923,20230120,132923,2023,01,20,근린생활시설,20100427,20100428,,대구광역시 북구 동천동 ,동천로,,석고보드.유리 등,440.0,MDF위 방염필름. 목재위 방염도료,168.0,8/2,더웰빌딩 - 더웰빌딩동,기타 식,철근콘크리트조,,Y
MU272010100650,달서소방서,본리119안전센터,퀸노래연습장,노래연습장업,20230703195715,20230703,195715,2023,07,03,,20100520,20100526,20200721,대구광역시 달서구 두류동 ,당산로38길,,석고보드등,150.0,MDF,58.0,1/4,,양식(옥),철근콘크리트조,,Y
MU502009101006,서귀포소방서,동홍센터,지장샘단란주점,단란주점,20230323163108,20230323,163108,2023,03,23,위락시설,20061229,20061229,20110218,제주특별자치도 서귀포시 서귀동 ,중앙로,,석고보드,215.0,해당없음,0.0,1/3,지장샘단란주점 - 지장샘단란주점동,양식(옥),철근콘크리트조,,Y
MU502009100552,제주소방서,오라센터,산딸기,단란주점,20230425095009,20230425,095009,2023,04,25,,,20070207,20230421,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드,,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009101115,제주소방서,삼도센터,오페라(구/ 열창),단란주점,20230703163829,20230703,163829,2023,07,03,,,20070330,20230703,제주특별자치도 제주시 삼도이동 ,중앙로,,석고보드,,없음,,1/3,,양식(옥),철근콘크리트조,,Y
MU502009101120,제주소방서,항만센터,방가방가,단란주점,20231013101721,20231013,101721,2023,10,13,,,20070330,20231013,제주특별자치도 제주시 일도이동 ,고마로,대명빌딩,석고,,,,지하,대명빌딩 - 대명빌딩동,양식(옥),철근콘크리트조,,Y
MU502010105321,제주소방서,항만센터,술마시는 노래주점 첼로(구/ 알라딘),유흥주점,20230831093730,20230831,093730,2023,08,31,,20100813,20100930,20230830,제주특별자치도 제주시 일도이동 ,고마로13길,,석고보드.타일,298.0,목재(방염필름),36.0,1/2,이종탁건물(비젼단란) - 이종탁건물동,양식(옥),철골조,,Y
MU502010105341,제주소방서,항만센터,당근골프존파크스크린 5층(구. 일도골프존스크린),가상체험체육시설(스크린골프연습장),20230123200036,20230123,200036,2023,01,23,근린생활시설,,20150421,20220825,제주특별자치도 제주시 일도이동 ,고마로,유성빌딩,,,무대막. 벽지,,1/5,극동빌딩(유성건설) - 극동빌딩동,양식(옥),철근콘크리트조,,Y
MU502009102402,제주소방서,연동센터,부르네,유흥주점,20230704154202,20230704,154202,2023,07,04,복합건축물,,20070531,20230704,제주특별자치도 제주시 연동 ,삼무로,,,,,,3/1,원 무도학원 - 147-본동동,양식(옥),철근콘크리트조,,Y
MU502009100576,서귀포소방서,동홍센터,궁전,유흥주점,20230704103822,20230704,103822,2023,07,04,위락시설,20070528,20070528,20230616,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드. 핸드코트,248.0,홀 및 룸 벽체장식등,66.0,지상4지하1,금우장(동화장)여관 - 금우장모텔동,양식(옥),철근콘크리트조,,Y
MU502009101600,서귀포소방서,동홍센터,여미지가요방,유흥주점,20230228170746,20230228,170746,2023,02,28,위락시설,20070306,20070306,20150409,제주특별자치도 서귀포시 서귀동 ,동문로,조은동물병원,석고보드,278.0,문. 카운터. 몰딩 등,42.0,1/4,향목유흥주점(구 국도극장) - 본동동,양식(옥),철근콘크리트조,,Y
MU502009100421,제주소방서,오라센터,타임,단란주점,20230225115819,20230225,115819,2023,02,25,,,20070404,20230222,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드,,벽체MDF(성적서번호 : 2007-102),,3/1,,양식(옥),철근콘크리트조,,Y
MU302009102096,둔산소방서,탄방119안전센터,미사리,일반음식점,20230824145655,20230824,145655,2023,08,24,,,20070702,20230712,대전광역시 서구 용문동 ,계룡로620번길,,석고보드. 철,441.0,MDF,115.0,3,,양식(옥),철근콘크리트조,,Y
MU502009100626,제주소방서,화북센터,남문노래연습장,노래연습장업,20230107124334,20230107,124334,2023,01,07,근린생활시설,20070406,20070406,20230106,제주특별자치도 제주시 화북일동 ,일주동로,,석고보드 등,175.0,룸천정장식. 띠장식. 문. 문틀. 카운터 등,57.0,5,남문노래연습장 - 남문노래연습장동,양식(옥),철근콘크리트조,,Y
MU502009100446,제주소방서,노형센터,로얄,노래연습장업,20230704154800,20230704,154800,2023,07,04,근린생활시설,,19960130,20230704,제주특별자치도 제주시 노형동 ,남녕로,,,,,,1/5,인림맨션(김태선건물) - 21-본동동,양식(옥),철근콘크리트조,,Y
MU502009100528,서귀포소방서,대신센터,중앙도서관구내식당,휴게음식점,20230209212902,20230209,212902,2023,02,09,업무시설,,20070514,20221128,제주특별자치도 서귀포시 강정동 ,김정문화로,,석고보드. 콘크리트,309.0,없음,,1/4,서귀포중앙도서관 - 9-본동동,양식(옥),철근콘크리트조,,Y
MU502009100468,서귀포소방서,대신센터,숲속의 컨벤션,일반음식점,20231031141302,20231031,141302,2023,10,31,근린생활시설,,20070326,20231018,제주특별자치도 서귀포시 강정동 ,일주서로,,콘크리트 및 석고보드,745.0,해당없음,,0/3,숲속의컨벤션 - 14-본동동,양식(옥),철근콘크리트조,,Y
MU502009100359,제주소방서,오라센터,별,휴게음식점,20230308084949,20230308,084949,2023,03,08,,,20070413,20230228,제주특별자치도 제주시 삼도일동 ,서사로,,석고보드 등,,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009100360,제주소방서,오라센터,굿초이스(구/골드윙),단란주점,20230504171820,20230504,171820,2023,05,04,,,20070411,20230424,제주특별자치도 제주시 삼도일동 ,서광로,,석고보드 등(벽.천정),,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009100361,제주소방서,오라센터,야시,단란주점,20231013101648,20231013,101648,2023,10,13,,,20070411,20231013,제주특별자치도 제주시 오라일동 ,서사로,,석고보드 등(벽.천정),,해당없음,,3/1,,양식(옥),철근콘크리트조,,Y
MU502009100582,서귀포소방서,동홍센터,로타리노래연습장,노래연습장업,20230215020455,20230215,020455,2023,02,15,근린생활시설,20061116,20061116,20190201,제주특별자치도 서귀포시 서귀동 ,중정로,,석고보드,202.0,천정. 벽체. 문. 문틀등,25.0,2/0,,양식(옥),철근콘크리트조,,Y
MU502009101003,서부소방서,한림센터,탄생,유흥주점,20231101160606,20231101,160606,2023,11,01,,,20070321,20231101,제주특별자치도 제주시 한림읍 한림리,한림로15길,,,,,,0/1,,양식(옥),철근콘크리트조,,Y
MU502009100603,서귀포소방서,동홍센터,줄리아나,유흥주점,20230210101416,20230210,101416,2023,02,10,위락시설,20070604,20070604,,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드.회벽처리,,벽체장식.천정장식.몰딩 등,164.0,1/7,원남빌딩(항공모함) - 4-2동,양식(옥),철근콘크리트조,,Y
MU502009100605,서귀포소방서,동홍센터,황제다방,휴게음식점,20230323201253,20230323,201253,2023,03,23,근린생활시설,20070528,20070528,20160726,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드 및 콘크리트,145.0,해당없음,,0/3,,양식(옥),철근콘크리트조,,Y
MU272011109814,수성소방서,수성119안전센터,청운골프,,20230530092020,20230530,092020,2023,05,30,근린생활시설,,20070530,,대구광역시 수성구 범어동 ,들안로,청운신협,,,,,1/6,송학구이건물 - 송학구이건물동,양식(옥),철근콘크리트조,,Y
MU272011109851,수성소방서,수성119안전센터,발리,유흥주점,20230411164622,20230411,164622,2023,04,11,근린생활시설,,20070530,20210629,대구광역시 수성구 수성동1가 ,수성로,,,,,,1/2,대가주점 - 대가건물동,양식(옥),벽돌조,,Y
MU272011109892,수성소방서,수성119안전센터,청담,유흥주점,20230906210554,20230906,210554,2023,09,06,근린생활시설,,20070530,,대구광역시 수성구 수성동3가 ,명덕로,,,,,,2/8,정석대구빌딩 - 정석대구빌딩동,양식(옥),철근콘크리트조,,Y
MU272011109975,수성소방서,수성119안전센터,퀸,유흥주점,20231105093903,20231105,093903,2023,11,05,위락시설,,20070530,,대구광역시 수성구 범어동 ,상록로,,,,,,1/4,카니발 - 카니발건물동,양식(옥),철근콘크리트조,,Y
MU272010101434,달서소방서,도원119안전센터,제주물회,일반음식점,20230224160229,20230224,160229,2023,02,24,,20100409,20101207,20201014,대구광역시 달서구 유천동 ,달서대로,,석고보드위 종이벽지,269.0,,,0/2,,양식(옥),철근콘크리트조,,Y
MU272010101639,강서소방서,성서119안전센터,어부네 코다리조림 대구성서점,일반음식점,20230810153329,20230810,153329,2023,08,10,,20101201,20101208,20191230,대구광역시 달서구 이곡동 ,성서로,,천정및벽체. 석고보드. 타일 및 몰타르,1109.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU272011110171,수성소방서,수성119안전센터,방어진참가자미회범어점,일반음식점,20230111110736,20230111,110736,2023,01,11,근린생활시설,,20070530,,대구광역시 수성구 범어동 ,동대구로,,,,,,1/5,황제가샤브샤브 - 황제가샤브샤브동,양식(옥),철근콘크리트조,,Y
MU272010101641,강서소방서,다사119안전센터,카니발,유흥주점,20230706192434,20230706,192434,2023,07,06,,20101127,20101208,20210707,대구광역시 달서구 호림동 ,달서대로91길,,목재 석고보드위종이벽지. 타일. 유리,339.0,,,2,,양식(옥),철근콘크리트조,,Y
MU272010101537,달서소방서,송현119안전센터,피자헛 대구상인점,일반음식점,20230619173401,20230619,173401,2023,06,19,,20100820,20101208,,대구광역시 달서구 상인동 ,월배로,,석고.. 타일. 유리 등,798.0,,193.0,0/4,,양식(옥),철근콘크리트조,Y,Y
MU272010101567,달서소방서,본리119안전센터,씨(C),일반음식점,20230217085549,20230217,085549,2023,02,17,근린생활시설,20100903,20101208,20211208,대구광역시 달서구 본리동 ,대명천로,,유리. 타일. 석고보드. 콘크리트,439.0,,,1/5,성광빌딩 - 성광빌딩동,양식(옥),철근콘크리트조,,Y
MU272010101573,달서소방서,송현119안전센터,소리새라이브,일반음식점,20230217090334,20230217,090334,2023,02,17,,20100908,20101208,20210908,대구광역시 달서구 상인동 ,상인로,,콘크리트및석고보드위 종이벽지마감,203.0,,,1/3,,양식(옥),철근콘크리트조,,Y
MU282010104036,검단소방서,마전119안전센터,써니노래연습장,노래연습장업,20230217064959,20230217,064959,2023,02,17,근린생활시설,20091104,20091120,20210802,인천광역시 서구 마전동 ,완정로10번길,,석고보드.유리,447.0,합판,110.0,1/4,두경프라자 - 1동,양식(옥),철근콘크리트조,,Y
MU282010104040,검단소방서,검단119안전센터,빵빵노래연습장,노래연습장업,20230217070741,20230217,070741,2023,02,17,근린생활시설,,20091130,20220812,인천광역시 서구 왕길동 ,,,석고보드.타일.ALC블럭.유리,488.0,,,0/3,중앙빌딩(정희경) - 1동동,양식(옥),철근콘크리트조,,Y
MU282010105976,계양소방서,작전119안전센터,초록나무스테이(구. *한별고시텔),고시원업,20230410131629,20230410,131629,2023,04,10,근린생활시설,20100917,20230407,20230407,인천광역시 계양구 계산동 ,장제로756번길,한별프라자,ALC블럭. 석고보드. 타일,2264.0,선처리 합판장 ,18.0,1/7,한별프라자 - 한별프라자동,양식(옥),철근콘크리트조,Y,Y
MU282010104710,계양소방서,계산119안전센터,하늘스테이(구. 이삭고시텔),고시원업,20230914141208,20230914,141208,2023,09,14,근린생활시설,20100528,20100108,20230831,인천광역시 계양구 계산동 ,경명대로,,석고보드,1327.0, 합판(방염도료),146.0,1/7,디지털프라자건물 - 1동,양식(옥),철근콘크리트조,,Y
MU272011109991,수성소방서,수성119안전센터,리더스,유흥주점,20230808135851,20230808,135851,2023,08,08,숙박시설,,20060328,20131030,대구광역시 수성구 범어동 ,상록로,,,,,,1/6,마이더스모텔 - 마이더스모텔동,양식(옥),철근콘크리트조,,Y
MU272010101420,강서소방서,성서119안전센터,개꿀동전노래연습장,노래연습장업,20230802155457,20230802,155457,2023,08,02,,20100219,20101207,20200428,대구광역시 달서구 신당동 ,계대동문로,,석고보드위 종이벽지. 목재위 방염필름,200.0,,,1/6,,양식(옥),철근콘크리트조,,Y
MU272011110074,수성소방서,수성119안전센터,블리,일반음식점,20230217110224,20230217,110224,2023,02,17,근린생활시설,20061013,20061020,20230216,대구광역시 수성구 수성동2가 ,수성로,,,,,,1/4,아우디주점건물 - 프린스주점건물동,양식(옥),철근콘크리트조,,Y
MU272011110892,동부소방서,신천119안전센터,OK노래방,단란주점,20230901162259,20230901,162259,2023,09,01,근린생활시설,20110302,20110302,20230801,대구광역시 동구 효목동 ,효동로2길,,석고보드 위 수성페인트. 종이벽지,278.0,MDF(방염필름). 합판(방염도료),68.0,0/2,솟대마을 - 솟대마을동,양식(옥),철골조,,Y
MU272011111132,달서소방서,월성119안전센터,샤브향 상인점,일반음식점,20230802151236,20230802,151236,2023,08,02,,20110317,20110321,,대구광역시 달서구 월성동 ,조암남로,,석고보드 등,904.0,,,2/7,,양식(옥),철근콘크리트조,,Y
MU272011110972,강서소방서,성서119안전센터,이층,일반음식점,20230802153542,20230802,153542,2023,08,02,,20110125,20110311,20200824,대구광역시 달서구 신당동 ,서당로7길,,석고보드 등,317.0,,,1/4,,양식(옥),철근콘크리트조,,Y
MU282010106383,검단소방서,검단119안전센터,팡팡노래연습장(검단로),노래연습장업,20231108124040,20231108,124040,2023,11,08,근린생활시설,,20101026,20231107,인천광역시 서구 왕길동 ,검단로445번길,,석고보드.타일.유리,643.0,방염필름,61.0,1/5,상선빌딩 - 상선빌딩동,양식(옥),철근콘크리트조,,Y
MU282009102264,계양소방서,작전119안전센터,달빛 노래연습장,노래연습장업,20230216131322,20230216,131322,2023,02,16,근린생활시설,,20041215,20230215,인천광역시 계양구 작전동 ,효서로,,,,,,3/1,원진빌딩 - 1동,양식(옥),철근콘크리트조,,Y
MU282009102277,계양소방서,작전119안전센터,땡큐,단란주점,20230711110346,20230711,110346,2023,07,11,근린생활시설,,20070629,20230703,인천광역시 계양구 병방동 ,계양산로,,석고,272.0,,,3/1,월드컵단란주점 - 월드컵단란주점동,양식(옥),철근콘크리트조,,Y
MU282010105972,검단소방서,검단119안전센터,애플노래연습장,노래연습장업,20230217070449,20230217,070449,2023,02,17,근린생활시설,20100901,20100915,20220831,인천광역시 서구 왕길동 ,검단로,현대프라자,석고보드. 타일. 유리,908.0,방염필름. 방염도료. 합판/장,72.0,1/6,현대프라자 - 1동,양식(옥),철근콘크리트조,,Y
MU282010106075,계양소방서,계산119안전센터,오페라 노래연습장(전.오페라),노래연습장업,20230209131233,20230209,131233,2023,02,09,근린생활시설,20101006,20101006,20230206,인천광역시 계양구 계산동 ,경명대로,삼환1빌딩,석고보트. 타일,881.0,MDF(필름.도료),185.0,2/5,삼환1차빌딩 - 1동,양식(옥),철근콘크리트조,,Y
MU282010104024,서부소방서,석남119안전센터,연예인노래연습장,노래연습장업,20230623174845,20230623,174845,2023,06,23,근린생활시설,,20091102,20230623,인천광역시 서구 석남동 ,길주로75번길,,석고보드.유리.파벽돌.타일,757.0,방염합판,,1/4,호산빌딩 - 1동,양식(옥),철근콘크리트조,,Y
MU282011110302,중부소방서,연안119안전센터,해운대,단란주점,20230521075309,20230521,075309,2023,05,21,근린생활시설,,20040102,,인천광역시 중구 항동7가 ,연안부두로33번길,,,,,,지상,앵콜노래방건물 - 1동,양식(옥),철근콘크리트조,,Y
MU282009103807,부평소방서,삼산119안전센터,스카이노래연습장,노래연습장업,20230209161607,20230209,161607,2023,02,09,,20091119,20091231,20230206,인천광역시 부평구 삼산동 ,체육관로,신영프라자,석고보드.타일.유리,587.0,,,-3/12,,양식(옥),철근콘크리트조,,N
MU262009100684,동래소방서,연산119안전센터,제우스,유흥주점,20230424154606,20230424,154606,2023,04,24,위락시설,,20000831,,부산광역시 연제구 연산동 ,중앙대로,,,,,,2/5,유한빌딩 - 유한빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100810,동래소방서,연산119안전센터,고래원탁가라오케,단란주점,20230413103706,20230413,103706,2023,04,13,근린생활시설,0,20060922,20140805,부산광역시 연제구 연산동 ,과정로,,,,쇼파. 테이블 등 방염토록 권장,,1/2,소나무단란건물 - 소나무단란건물동,양식(옥),철근콘크리트조,,Y
MU262009100609,동래소방서,양정119안전센터,제이에스클럽,유흥주점,20230501110718,20230501,110718,2023,05,01,근린생활시설,,20040611,,부산광역시 연제구 연산동 ,월드컵대로,파라다이스빌딩,,,,,2/13,파라다이스빌딩(구.솔토빌딩) - 솔토빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100186,동래소방서,사직119안전센터,무지개노래주점,단란주점,20230413100604,20230413,100604,2023,04,13,근린생활시설,,20090305,,부산광역시 동래구 사직동 ,미남로,,,,방염처리됨,,지하1,세브란스건물 - 세브란스건물동,양식(옥),철근콘크리트조,,Y
MU482009101078,진주소방서,중앙119안전센터,축제,유흥주점,20230116105507,20230116,105507,2023,01,16,위락시설,,20070615,20220610,경상남도 진주시 계동 ,비봉로,,,,,,1/4,해라(구닉스) - 해라(구닉스)동,양식(옥),철근콘크리트조,,Y
MU482009101083,진주소방서,중앙119안전센터,홈런(구.화들짝),유흥주점,20230206082751,20230206,082751,2023,02,06,숙박시설,,20131115,20221128,경상남도 진주시 계동 ,비봉로54번길,,선.후처리,,기 방염 처리됨,,1/5,아세아모텔 - 아세아모텔동,양식(옥),철근콘크리트조,,Y
MU482009101093,진주소방서,중앙119안전센터,기적노래방,유흥주점,20230116101023,20230116,101023,2023,01,16,근린생활시설,,20130628,20221115,경상남도 진주시 계동 ,진주대로,,,,MDF,66.0,1/4,발리노래궁 - 발리노래궁동,양식(옥),철근콘크리트조,,Y
MU482009101196,마산소방서,중앙119안전센터,올인,일반음식점,20230726134005,20230726,134005,2023,07,26,근린생활시설,,20070605,,경상남도 창원시 마산합포구 동성동 ,동서북14길,주택,석고보드 등,,,,5,,양식(옥),철근콘크리트조,,Y
MU482009101156,마산소방서,중앙119안전센터,시즌가라오케,유흥주점,20230718091416,20230718,091416,2023,07,18,근린생활시설,,20051028,20190903,경상남도 창원시 마산합포구 동성동 ,문화의길,주택,석고보드.콘크리트,352.0,,,3,에스파스 - 에스파스동,양식(옥),철골조,,Y
MU482009101180,마산소방서,양봉119안전센터,행복한 노래방,단란주점,20230411152642,20230411,152642,2023,04,11,,,20100101,,경상남도 창원시 마산회원구 봉암동 ,봉양로,용환빌딩,,,,,-1/4,힐단란주점 - 힐단란주점동,양식(옥),철근콘크리트조,,Y
MU482009101188,거제소방서,신현119안전센터,옥가요주점,유흥주점,20230224192829,20230224,192829,2023,02,24,,20070505,20070525,20160701,경상남도 거제시 고현동 ,거제중앙로16길,,타일.핸디코트,179.0,MDF,60.0,4,사라레스토랑 - 동명칭없음동,양식(옥),철근콘크리트조,,Y
MU262009100041,동래소방서,연산119안전센터,야시궁,단란주점,20230110112908,20230110,112908,2023,01,10,근린생활시설,0,20090302,,부산광역시 연제구 연산동 ,반송로,,,,,,3,챔프가요반주 - 챔프가요반주동,양식(옥),철근콘크리트조,,Y
MU262009100326,동래소방서,연산119안전센터,술마시는만남노래방,단란주점,20230413103626,20230413,103626,2023,04,13,근린생활시설,0,20090305,20161010,부산광역시 연제구 연산동 ,연수로,,,,,,2,,양식(옥),벽돌조,,Y
MU262009100126,동래소방서,온천119안전센터,파티파티,유흥주점,20231123133543,20231123,133543,2023,11,23,위락시설,20070604,20070608,20170220,부산광역시 동래구 온천동 ,아시아드대로246번길,,석고보드.타일,278.0,합판,12.0,5/1,낙원장단란주점 - 1동,양식(옥),철근콘크리트조,,Y
MU262009100262,동래소방서,연산119안전센터,놀자 가라오케,단란주점,20230810160117,20230810,160117,2023,08,10,근린생활시설,0,20090305,,부산광역시 연제구 연산동 ,고분로13번길,대경빌딩,,,,,1/6,대경빌딩 - 1동동,양식(옥),철근콘크리트조,,Y
MU262009100458,동래소방서,온천119안전센터,M(엠),단란주점,20230110131539,20230110,131539,2023,01,10,위락시설,20021128,20021128,,부산광역시 동래구 온천동 ,온천장로107번길,,,,방염처리됨,,1/6,,양식(옥),철근콘크리트조,,Y
MU262009101291,동래소방서,사직119안전센터,맘스터치 사직동 본점,일반음식점,20230413100702,20230413,100702,2023,04,13,근린생활시설,20070406,20070409,20160720,부산광역시 동래구 사직동 ,사직북로,사직동백진빌딩,석고. 타일,554.0,MDF. 합판,95.0,8,백진빌딩(광후빌딩) - 백진빌딩동,양식(옥),철근콘크리트조,,Y
MU262009103130,남부소방서,망미119안전센터,짱 노래연습장,노래연습장업,20230313123552,20230313,123552,2023,03,13,,20040320,20040323,,부산광역시 수영구 망미동 ,망미로8번길,,,,MDF.합판,57.0,1/3,,양식(옥),철근콘크리트조,,Y
MU262009102549,동래소방서,연산119안전센터,보보스(BOBOS),유흥주점,20230413103736,20230413,103736,2023,04,13,근린생활시설,0,20040310,20170123,부산광역시 연제구 연산동 ,고분로,,,,방염처리됨,,10/2,태원빌딩(김병원건물) - 태원빌딩동,양식(옥),철근콘크리트조,,Y
MU262009100924,동래소방서,온천119안전센터,목마가라오케,단란주점,20230512160654,20230512,160654,2023,05,12,위락시설,20061120,20061121,20141106,부산광역시 동래구 온천동 ,온천장로,,석고. 유리,272.0,MDF,53.0,3/1,우치과건물 - 우치과건물동,양식(옥),철근콘크리트조,,Y
MU262009100759,동래소방서,수안119안전센터,테크닉노래방,유흥주점,20231123102421,20231123,102421,2023,11,23,위락시설,20061030,20061030,20170213,부산광역시 동래구 명륜동 ,명륜로129번길,명륜동 만해빌딩,유리.타일.석고보드.콘크리트,251.0,MDF,36.0,10/1,만해빌딩 - 1동동,양식(옥),철근콘크리트조,,Y
MU262009102063,동래소방서,연산119안전센터,발리,유흥주점,20230512160834,20230512,160834,2023,05,12,위락시설,20030526,20030528,20140528,부산광역시 연제구 연산동 ,중앙대로1120번길,,,,방호13810-21529(03.05.06.)호에의거 방염처리됨,,1/5,,양식(옥),철근콘크리트조,,Y
MU262009100598,동래소방서,온천119안전센터,토끼,일반음식점,20230602143145,20230602,143145,2023,06,02,근린생활시설,20090211,20090216,,부산광역시 동래구 온천동 ,금강공원로,,석고.유리.타일.콘크리트,488.0,MDF,26.0,1/4,,양식(옥),철근콘크리트조,,Y
MU272010103612,동부소방서,신천119안전센터,궁(구. 신바람),유흥주점,20230814145728,20230814,145728,2023,08,14,근린생활시설,20100914,20100914,20230712,대구광역시 동구 신암동 ,신암남로,,석고보드 위 종이벽지 및 핸디코드,227.0,,,1/4층,신바람노래연습장 - 신바람노래연습장동,양식(옥),철근콘크리트조,,Y
MU272010103912,동부소방서,신천119안전센터,K2노래연습장,노래연습장업,20230726164014,20230726,164014,2023,07,26,근린생활시설,20101007,20101007,20230627,대구광역시 동구 신암동 ,아양로,,석고보드위 수성페인트 및 핸디코트 마감,506.0,,,1/6층,,양식(옥),철근콘크리트조,,Y
MU482009101506,마산소방서,구암119안전센터,평황 아시안노래방,유흥주점,20230404171244,20230404,171244,2023,04,04,,,20070701,,경상남도 창원시 마산회원구 합성동 ,합성서7길,주택,,,,,4/1,,양식(옥),철근콘크리트조,,Y
MU482009101659,하동소방서,진교119안전센터,로또스탠드빠,유흥주점,20230521115427,20230521,115427,2023,05,21,근린생활시설,20090911,20090914,20230313,경상남도 하동군 진교면 진교리,민다리길,,석고. 콘크리트,460.0,합판(후처리함). 벽체일부. 내부 문,51.0,2,로또스탠드바 - 로또스탠드바동,양식(옥),철근콘크리트조,,Y
MU482009101665,통영소방서,무전119안전센터,동백가라오케,유흥주점,20230623135047,20230623,135047,2023,06,23,복합건축물,20070409,20070413,20220823,경상남도 통영시 정량동 ,정동4길,동호상가,,,,,4,동호상가 - 동호상가동,양식(옥),철근콘크리트조,,Y
MU482009101675,통영소방서,무전119안전센터,찐가라오케,유흥주점,20230320100850,20230320,100850,2023,03,20,근린생활시설,20070206,20070214,20191230,경상남도 통영시 정량동 ,정동3길,찐가라오케,,,,,3,좌동가요주점(구.메인) - 메인가요주점동,양식(옥),철근콘크리트조,,Y
MU482009101318,마산소방서,석전119안전센터,만두품바 단란주점,단란주점,20230411152610,20230411,152610,2023,04,11,,,19940512,20160330,경상남도 창원시 마산회원구 양덕동 ,산호천동길,꽃도매시장주차장,,,,,2,,양식(옥),철근콘크리트조,,Y
MU482009100799,의령소방서,의령119안전센터,아리아유흥주점,유흥주점,20231010164545,20231010,164545,2023,10,10,위락시설,20070205,20070412,20231006,경상남도 의령군 의령읍 중동리,충익로,아리아유흥주점,콘크리트. 철재문.창호.조적벽,400.0,,,3,아리아가요주점대장금(수) - 아리아가요주점동,양식(옥),철근콘크리트조,,Y
MU482009100810,거창소방서,위천119안전센터,수승단란주점,단란주점,20230322092442,20230322,092442,2023,03,22,복합건축물,19971224,20160418,20230321,경상남도 거창군 위천면 황산리,송계로,수승대모텔,알수없음,0.0,합판,26.0,1/4,수승대모텔 - 수승대모텔동,양식(옥),철골철근콘크리트조,,Y
MU482009101308,함양소방서,산악구조대,웰빙음악노래연습장,노래연습장업,20230627100144,20230627,100144,2023,06,27,근린생활시설,20051011,20051026,20230620,경상남도 함양군 마천면 의탄리,지리산가는길,웰빙음악노래연습장,석고.콘크리트,649.0,합판(필름),150.0,지상1층,웰빙노래연습장(고향건강원웰빙민박) - 주1 (웰빙노래연습장 웰빙노래방식당)동,양식(옥),벽돌조,,Y
MU482009101216,마산소방서,남성119안전센터,월드컵,유흥주점,20231026090748,20231026,090748,2023,10,26,위락시설,,20070516,20140205,경상남도 창원시 마산합포구 상남동 ,북성로,반갑다친구야,타일.유리.석고보드,,,,3/1,월드컵노래주점 - 월드컵노래주점동,양식(옥),철근콘크리트조,,Y
MU482009101244,마산소방서,석전119안전센터,그랜드미미클럽,유흥주점,20230404171351,20230404,171351,2023,04,04,,,19990903,,경상남도 창원시 마산회원구 양덕동 ,양덕북20길,그랜드여관,,,,,-1/4,,양식(옥),철근콘크리트조,,Y
