MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU412023938028,용인소방서,양지119안전센터,아스토리아 뉴욕,일반음식점,20230201103356,20230201,103356,2023,02,01,,20230118,20230201,,경기도 용인시 처인구 양지면 제일리,중부대로,,유리.콘크리트.타일,401.0,,,0/4,,양식(옥),철근콘크리트조,,Y
MU282023231867,남동소방서,서창119안전센터,슬기로운 코인노래연습장,노래연습장업,20230201133044,20230201,133044,2023,02,01,근린생활시설,20221205,20230131,,인천광역시 남동구 서창동 ,서창남순환로216번길,스카이플러스, 유리.석고보드.ALC벽돌.콘크리트.,867.0,미사용,,1/4,스카이플러스(오영옥) - 스카이플러스동,양식(옥),철근콘크리트조,,Y
MU432023219245,,,더야르사,일반음식점,20230201133612,20230201,133612,2023,02,01,근린생활시설,20230116,20230201,,충청북도 음성군 금왕읍 무극리,무극로324번길,,콘크리트. 유리. 방화석고,342.0,방염필름,30.0,0/3,,양식(옥),철근콘크리트조,,Y
MU412023938014,,,스타벅스 고양DT점,휴게음식점,20230201150956,20230201,150956,2023,02,01,,20221224,20230201,,경기도 고양시 덕양구 고양동 ,호국로,,콘크리트.방화석고.유리 등,1219.0,후처리 2015-53. 선처리(필름 / 문등),101.0,지하-/지상2,,양식(옥),철골조,Y,Y
MU412023938015,,,스타벅스 고양삼송점,휴게음식점,20230201151004,20230201,151004,2023,02,01,,20221224,20230201,,경기도 고양시 덕양구 신원동 ,권율대로,,콘크리트.방화석고 등,1285.0,방염 2016-62. 선처리(필름/문등),128.0,지하1/지상5,,양식(옥),철근콘크리트조,Y,Y
MU412023938034,의정부소방서,양주119안전센터,우리 게임랜드,게임제공업,20230201155239,20230201,155239,2023,02,01,,20230116,20230201,,경기도 의정부시 의정부동 ,태평로90번길,,조적. 유리. 콘크리트,678.0,,,1/6,,양식(옥),철근콘크리트조,,Y
MU452023145117,군산소방서,사정119안전센터,로얄,일반음식점,20230201162013,20230201,162013,2023,02,01,근린생활시설,20230116,20230201,,전라북도 군산시 수송동 ,수송북로,,콘크리트.방화석고.타일. 유리,139.0,방염도료. 필름,160.0,1/5,,양식(옥),철근콘크리트조,,Y
MU412023938043,평택소방서,비전119안전센터,골프존파크 용이라베점,가상체험체육시설(스크린골프연습장),20230215143503,20230215,143503,2023,02,15,,20221226,20230201,20230215,경기도 평택시 용이동 ,신흥1로,,콘크리트.유리.일반철골,688.0,방염필름[106.28].방염메모리폼.방염카페트.방염스크린,106.0,지하0/지상2,,양식(옥),철근콘크리트조,,Y
MU112020802439,용산소방서,이촌119안전센터,상하이,일반음식점,20230205180303,20230205,180303,2023,02,05,복합건축물,20200612,20200615,,서울특별시 용산구 한강로3가 ,한강대로23길,현대아이파크몰,철근콘크리트. 유리. 방화석고. 타일. 금속(철),407.0,방염필름,70.0,지상:10층 지하:3층,상하이,양식(옥),철골철근콘크리트조,,
MU112020802575,용산소방서,이태원119안전센터,버탠니컬 라운지,일반음식점,20230205172208,20230205,172208,2023,02,05,숙박시설,20200629,20200709,,서울특별시 용산구 이태원동 ,장문로,캐피탈호텔,석고. 타일. 유리. 불연석고. 금속,2570.0,합판(방염도료(붓.로라 4회)). 방염필름,639.0,지상:17층 지하:6층,버탠니컬 라운지,양식(옥),철근콘크리트조,,
